A;004;20011109 13:29;CDIXON;
B;004;102663;51;20011109 13:29;;9;608;PACIFIC HWY;BELMONT;2280;;;20010628;20010815;70000;;3;COMMERCIAL UN;9;;;;7925328;
C;004;102663;51;20011109 13:29;9//SP 63892;
D;004;102663;51;20011109 13:29;P;;;;;;
D;004;102663;51;20011109 13:29;P;;;;;;
D;004;102663;51;20011109 13:29;V;;;;;;
B;004;102752;52;20011109 13:29;;;22;PALEY CRES;BELMONT SOUTH;2280;265.6;M;20010430;20010608;525000;A;R;RESIDENCE;;JC;AC;;7689853;
C;004;102752;52;20011109 13:29;1//301431;
D;004;102752;52;20011109 13:29;P;;;;;;
D;004;102752;52;20011109 13:29;P;;;;;;
D;004;102752;52;20011109 13:29;V;;;;;;
B;004;103222;53;20011109 13:29;;;16;SANDY VIEW CT;BELMONT;2280;629.4;M;20010823;20010910;60000;A;V;VACANT LAND;;JE;AV;;7956553;
C;004;103222;53;20011109 13:29;11//875042;
D;004;103222;53;20011109 13:29;P;;;;;;
D;004;103222;53;20011109 13:29;P;;;;;;
D;004;103222;53;20011109 13:29;V;;;;;;
B;004;103249;54;20011109 13:29;;;31;SEAFARER CL;BELMONT;2280;760;M;20010719;20010907;102500;A;3;;;JB;AV;;7979219;
C;004;103249;54;20011109 13:29;15//879395;
D;004;103249;54;20011109 13:29;P;;;;;;
D;004;103249;54;20011109 13:29;V;;;;;;
D;004;103249;54;20011109 13:29;V;;;;;;
B;004;103394;55;20011109 13:29;;;9;SOMERSET ST;BELMONT NORTH;2280;733.5;M;20010608;20010706;168000;A;R;RESIDENCE;;JE;AC;;7785034;
C;004;103394;55;20011109 13:29;38//28480;
D;004;103394;55;20011109 13:29;P;;;;;;
D;004;103394;55;20011109 13:29;P;;;;;;
D;004;103394;55;20011109 13:29;V;;;;;;
B;004;103488;56;20011109 13:29;;;31;STANLEY ST;BELMONT;2280;588.1;M;20010525;20010720;187250;A;R;RESIDENCE;;JA;AC;;7923108;
C;004;103488;56;20011109 13:29;77//15506;
D;004;103488;56;20011109 13:29;P;;;;;;
D;004;103488;56;20011109 13:29;P;;;;;;
D;004;103488;56;20011109 13:29;V;;;;;;
D;004;103488;56;20011109 13:29;V;;;;;;
D;004;103488;56;20011109 13:29;V;;;;;;
B;004;103611;57;20011109 13:29;;;6;THE MAINSAIL;BELMONT;2280;803.8;M;20010721;20010824;237100;A;V;VACANT LAND;;JC;AV;;7936593;
C;004;103611;57;20011109 13:29;3116//873020;
D;004;103611;57;20011109 13:29;P;;;;;;
D;004;103611;57;20011109 13:29;P;;;;;;
D;004;103611;57;20011109 13:29;V;;;;;;
