A;008;20010822 12:46;CDIXON;
D;008;207824;54;20010822 12:46;P;;;;;;
D;008;207824;54;20010822 12:46;V;;;;;;
B;008;208605;55;20010822 12:46;;;19;BROOKS ST;COOKS HILL;2300;;;20010327;20010427;299000;A;R;;;KB;;;7606541;
C;008;208605;55;20010822 12:46;C//155405;
D;008;208605;55;20010822 12:46;P;;;;;;
D;008;208605;55;20010822 12:46;P;;;;;;
D;008;208605;55;20010822 12:46;V;;;;;;
B;008;208703;56;20010822 12:46;;2;49;BROOKS ST;WALLSEND;2287;;;20010320;20010424;114000;;3;UNIT ;2;;;;7574792;
C;008;208703;56;20010822 12:46;2//42353;
D;008;208703;56;20010822 12:46;P;;;;;;
D;008;208703;56;20010822 12:46;V;;;;;;
B;008;208858;57;20010822 12:46;;;69;BRUCE ST;COOKS HILL;2300;404.7;M;20010317;20010503;295000;A;R;;;KA;;;7606586;
C;008;208858;57;20010822 12:46;5//37667 4//215611;
D;008;208858;57;20010822 12:46;P;;;;;;
D;008;208858;57;20010822 12:46;V;;;;;;
D;008;208858;57;20010822 12:46;V;;;;;;
B;008;208864;58;20010822 12:46;;;81;BRUCE ST;COOKS HILL;2300;486.9;M;20010324;20010501;306000;A;R;;;KA;;;7619272;
C;008;208864;58;20010822 12:46;11//37667 10//215611;
D;008;208864;58;20010822 12:46;P;;;;;;
D;008;208864;58;20010822 12:46;P;;;;;;
D;008;208864;58;20010822 12:46;V;;;;;;
D;008;208864;58;20010822 12:46;V;;;;;;
B;008;208876;59;20010822 12:46;;;123;BRUCE ST;COOKS HILL;2300;183.4;M;20010409;20010511;360000;A;R;;;KA;;;7653325;
C;008;208876;59;20010822 12:46;3//744108;
D;008;208876;59;20010822 12:46;P;;;;;;
D;008;208876;59;20010822 12:46;P;;;;;;
D;008;208876;59;20010822 12:46;V;;;;;;
D;008;208876;59;20010822 12:46;V;;;;;;
B;008;208929;60;20010822 12:46;;;106;BRUCE ST;COOKS HILL;2300;158.1;M;20010227;20010424;285000;A;R;;;KA;;;7577821;
C;008;208929;60;20010822 12:46;D//37968;
D;008;208929;60;20010822 12:46;P;;;;;;
D;008;208929;60;20010822 12:46;P;;;;;;
D;008;208929;60;20010822 12:46;V;;;;;;
D;008;208929;60;20010822 12:46;V;;;;;;
B;008;208969;61;20010822 12:46;;10;26;BRUCE ST;COOKS HILL;2300;;;20010423;20010507;210000;;R;;10;;;;7603567;
C;008;208969;61;20010822 12:46;10//SP 45824;
D;008;208969;61;20010822 12:46;P;;;;;;
D;008;208969;61;20010822 12:46;V;;;;;;
B;008;208969;62;20010822 12:46;;11;26;BRUCE ST;COOKS HILL;2300;;;20010424;20010507;250000;;R;;11;;;;7650134;
C;008;208969;62;20010822 12:46;11//SP 45824;
D;008;208969;62;20010822 12:46;P;;;;;;
D;008;208969;62;20010822 12:46;V;;;;;;
D;008;208969;62;20010822 12:46;V;;;;;;
