A;010;20030619 08:55;PDANN;
B;010;278654;52;20030619 08:55;;1;90;MOUNT HALL RD;RAYMOND TERRACE;2324;;;20021206;20030116;105000;;R;RESIDENCE;1;;XA;0;9480860;
C;010;278654;52;20030619 08:55;1//SP 45073;
D;010;278654;52;20030619 08:55;P;;;;;;
D;010;278654;52;20030619 08:55;V;;;;;;
B;010;278654;53;20030619 08:55;;2;90;MOUNT HALL RD;RAYMOND TERRACE;2324;;;20021206;20030116;105000;;R;RESIDENCE;2;;XA;0;9480897;
C;010;278654;53;20030619 08:55;2//SP 45073;
D;010;278654;53;20030619 08:55;P;;;;;;
D;010;278654;53;20030619 08:55;V;;;;;;
B;010;279019;54;20030619 08:55;;;210;PACIFIC HWY;RAYMOND TERRACE;2324;303.5;M;20030207;20030303;145000;A;R;RESIDENCE;;JG;AC;0;9457098;
C;010;279019;54;20030619 08:55;PT 5//24914;
D;010;279019;54;20030619 08:55;P;;;;;;
D;010;279019;54;20030619 08:55;P;;;;;;
D;010;279019;54;20030619 08:55;V;;;;;;
D;010;279019;54;20030619 08:55;V;;;;;;
B;010;280044;55;20030619 08:55;;;25;TATHRA ST;RAYMOND TERRACE;2324;676.6;M;20030219;20030314;135000;A;R;RESIDENCE;;JA;AC;0;9454837;
C;010;280044;55;20030619 08:55;7/F/38113;
D;010;280044;55;20030619 08:55;P;;;;;;
D;010;280044;55;20030619 08:55;V;;;;;;
B;010;280200;56;20030619 08:55;;;38;TRUSCOTT ST;RAYMOND TERRACE;2324;628.4;M;20030117;20030212;230000;A;R;RESIDENCE;;JA;AC;0;9469609;
C;010;280200;56;20030619 08:55;157//247735;
D;010;280200;56;20030619 08:55;P;;;;;;
D;010;280200;56;20030619 08:55;P;;;;;;
D;010;280200;56;20030619 08:55;V;;;;;;
D;010;280200;56;20030619 08:55;V;;;;;;
B;010;280428;57;20030619 08:55;;;23;WILLIAM ST;RAYMOND TERRACE;2324;631;M;20021213;20030221;380000;B;3;SHOP;;BF;BS;0;9450947;
C;010;280428;57;20030619 08:55;112//811695;
D;010;280428;57;20030619 08:55;P;;;;;;
D;010;280428;57;20030619 08:55;V;;;;;;
B;010;281174;58;20030619 08:55;;;99;GOVERNMENT RD;SHOAL BAY;2315;556.4;M;20030203;20030314;355000;A;R;RESIDENCE;;GK;AC;0;9469911;
C;010;281174;58;20030619 08:55;34/E/9686;
D;010;281174;58;20030619 08:55;P;;;;;;
D;010;281174;58;20030619 08:55;P;;;;;;
D;010;281174;58;20030619 08:55;V;;;;;;
D;010;281174;58;20030619 08:55;V;;;;;;
B;010;281622;59;20030619 08:55;;;44;RIGNEY ST;SHOAL BAY;2315;;;20030123;20030314;340000;A;R;RESIDENCE;;GK;AC;0;9479042;
C;010;281622;59;20030619 08:55;98//22334;
D;010;281622;59;20030619 08:55;P;;;;;;
D;010;281622;59;20030619 08:55;P;;;;;;
D;010;281622;59;20030619 08:55;V;;;;;;
D;010;281622;59;20030619 08:55;V;;;;;;
B;010;282145;60;20030619 08:55;;;68;TOMAREE RD;SHOAL BAY;2315;348.4;M;20030218;20030321;255000;A;R;RESIDENCE;;GK;AC;0;9476755;
C;010;282145;60;20030619 08:55;2//841911;
